ID,Groups,Description,Baseline [04-22 20:07],[04-23 11:34],[04-23 11:58],[04-23 16:23]
,replace,replaces text in file,OK/OK,OK/OK,OK/OK,OK/OK
,chmod via shell,removes execute permission,OK/OK,OK/OK,OK/OK,OK/OK
,CLI API Controller - Core Methods > file listings,sessions lists session files,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File System Checks,isFile() returns false for directories,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > code execution,executeContinued shares environment,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - Bridge Availability,VSCodeBridgeClient.isAvailable returns bool,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File System Checks,isFile() returns false for non-existent path,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > code execution,execute with error returns failure,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - Bridge Availability,VSCodeBridgeClient can connect when available,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File System Checks,isDirectory() returns true for directories,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > code execution,eval evaluates expression,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File System Checks,isDirectory() returns false for files,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File System Checks,isDirectory() returns false for non-existent path,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File System Checks,isEmpty() returns true for empty directory,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > code execution,eval with variables,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File System Checks,isEmpty() returns false for non-empty directory,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File System Checks,exists() returns false for non-existent file,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > code execution,executeFile runs file,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > code execution,executeFile throws for missing file,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File System Checks,isLink() returns false for regular files,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > code execution,file runs in current environment,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File System Checks,isLink() returns true for symbolic links,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > code execution,execute runs fresh program,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File System Checks,exists() returns true for existing file,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > code execution,script runs line by line,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,touch() creates new file,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > code execution,load replays with output,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > code execution,replay replays silently,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > multiline mode,starting mode when already in mode throws,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > file content loading,loadFile reads exec.dart file,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > multiline mode,processPrompt accumulates in multiline mode,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > file content loading,loadScript reads script.txt file,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,touch() updates existing file timestamp,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > file content loading,loadReplay reads replay.txt file,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > file content loading,loadSession reads session.txt file,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,delete() removes file,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles empty lines,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > multiline mode,end executes multiline buffer,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles comments,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,delete() with ask: false removes file silently,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles help command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > multiline mode,clearMultilineBuffer clears and exits mode,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - VSCode Class,VSCode.isInitialized returns correct state,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles classes command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > multiline mode,startExecute enters execute mode,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,copy() copies file to new location,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > multiline mode,startFile enters file mode,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > multiline mode,startDefine enters define mode,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles enums command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > multiline mode,startScript enters script mode,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > multiline mode,initially not in multiline mode,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,copy() preserves original file,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles methods command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles variables command,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,copy() with overwrite replaces existing file,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles imports command,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - VSCode Class,VSCode.getVersion returns version string,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > introspection,showInit returns initialization source,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles cwd command,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,move() moves file to new location,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > introspection,registeredImports returns list,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > introspection,registeredVariables returns list,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > introspection,registeredMethods returns list,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles cd command,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - VSCode Class,VSCode.getEnv returns environment info,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > introspection,registeredEnums returns list,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > introspection,registeredClasses returns list,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles home command,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,move() with overwrite replaces existing file,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > introspection,imports returns list,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > introspection,variables returns list,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > introspection,methods returns list,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles ls command,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - VSCodeWorkspace,getWorkspaceFolders returns list,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > introspection,enums returns list,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,fileLength() returns correct file size,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > introspection,classes returns list,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles define command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > introspection,info with package name,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles undefine command,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,fileLength() returns 0 for empty file,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > defines,loadDefines returns -1 for missing file,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > defines,loadDefines from file,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > defines,expandDefine parses define invocation,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles defines command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > defines,invokeDefine unknown returns null,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles .start-script command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > defines,invokeDefine with positional args,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - VSCodeWorkspace,getConfiguration returns configuration,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > defines,invokeDefine expands template,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles .start-define command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles .start-file command,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - VSCodeWindow,showInformationMessage displays message,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,stat() returns file information,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles .start-execute command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles .end command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > defines,undefine returns false for nonexistent,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > defines,undefine removes alias,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,calculateHash() returns hash string,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > defines,define creates alias,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,handles expression evaluation,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > file listings,executes lists executable files,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,processPrompts handles multiple lines,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,calculateHash() returns consistent hash for same content,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > file listings,plays lists replay files,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > file listings,scripts lists script files,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > processPrompt,processPrompts continues on error when requested,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - VSCodeCommands,getCommands returns list of commands,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,replace() replaces text in file,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > other commands,clear does not throw,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > other commands,sessions command,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File System Checks,isFile() returns true for files,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > other commands,scripts command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > directory navigation,ls nonexistent path throws,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - VSCodeCommands,executeCommand can run basic command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > other commands,plays command,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Operations,replace() replaces multiple occurrences,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > other commands,executes command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > other commands,registered-classes command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > other commands,registered-enums command,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Reading,read() returns Progress object,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > other commands,registered-methods command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > other commands,registered-variables command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > other commands,registered-imports command,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Reading,head() returns Progress object,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > directory navigation,ls with path argument,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > other commands,show-init command,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > directory navigation,ls lists files and directories,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Reading,head() returns Progress with lines property,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Reading,tail() returns Progress object,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File Reading,cat() outputs file content,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > directory navigation,cd to nonexistent directory throws,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > directory navigation,cd with tilde expansion,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Directory Operations,createDir() creates directory,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Directory Operations,createDir() with recursive creates nested directories,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > directory navigation,cd with relative parent path,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Directory Operations,createDir() creates parent directories when recursive,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > directory navigation,cd changes to subdirectory,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > directory navigation,cwd returns current directory,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > properties,currentSessionId is null when no session active,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Directory Operations,deleteDir() removes empty directory,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - Live Bridge Commands,script can get active editor through bridge,X/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > properties,configuration is available,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > properties,d4rt returns interpreter instance,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Directory Operations,deleteDir() with recursive removes non-empty directory,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Directory Operations,moveDir() moves directory to new location,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > properties,dataDirectory returns configured path,OK/OK,--/OK,--/OK,--/OK
,CLI API Controller - Core Methods > properties,toolName returns configured name,OK/OK,--/OK,--/OK,--/OK
,,TomD4rtDcliBridge registers without error,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > output capture,capture loop output,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > output capture,capture multiple prints,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > output capture,capture print output,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > complex scenarios,collection if and for,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > complex scenarios,spread operator,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Directory Operations,copyTree() copies directory tree,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > complex scenarios,cascade operator,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Directory Operations,copyTree() preserves file contents,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > complex scenarios,null safety features,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Directory Operations,createTempDir() creates temporary directory,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > complex scenarios,late variables,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Directory Operations,createTempDir() with suffix parameter,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - VSCodeExtensions,getAll returns list of extensions,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Find,find() returns FindProgress object,OK/OK,--/OK,--/OK,--/OK
,,version is defined,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Find,find() with recursive: true parameter,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - VSCodeExtensions,getExtension returns specific extension,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Find,find() with recursive: false parameter,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > complex scenarios,mixin usage,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Find,find() returns FindProgress object for type filtering,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Find,find() supports caseSensitive parameter,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Symlinks,createSymLink() creates symbolic link,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Symlinks,createSymLink() link points to target,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > complex scenarios,typedef and function types,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Symlinks,resolveSymLink() resolves link to target,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Symlinks,deleteSymlink() removes link but keeps target,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Backup/Restore,backupFile() is callable with file path,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > complex scenarios,extension methods,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Backup/Restore,backupFile() supports ignoreMissing parameter,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Backup/Restore,restoreFile() is callable after backup,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Backup/Restore,restoreFile() with ignoreMissing handles missing backup,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > complex scenarios,enum definition and use,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Temp Files,createTempFilename() returns path string,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - D4rt Script Execution,can access VSCode class from script,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Temp Files,createTempFilename() with suffix adds suffix,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Temp Files,createTempFile() creates actual file,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Temp Files,createTempFile() with suffix adds suffix to filename,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > complex scenarios,exception handling in scripts,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > complex scenarios,async code execution,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - D4rt Script Execution,can access VSCodeBridgeClient from script,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - D4rt Script Execution,can create VSCodeUri from script,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > complex scenarios,use collections across executions,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - D4rt Script Execution,can create WorkspaceFolder from script,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Sleep,sleep() with milliseconds pauses execution,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - D4rt Script Execution,can create Position and Range from script,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Sleep,Interval.seconds enum value is available,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - D4rt Script Execution,can create Selection from script,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > complex scenarios,build up state incrementally,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Sleep,Interval.milliseconds enum value is available,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - D4rt Script Execution,can create QuickPickItem from script,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - D4rt Script Execution,can create InputBoxOptions from script,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Sleep,Interval.minutes enum value is available,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - D4rt Script Execution,can create MessageOptions from script,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > replay file execution,load file shows output,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - Live Bridge Commands,script can get VS Code version through bridge,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Which,which() finds dart executable,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Which,which() returns path when found,OK/OK,--/OK,--/OK,--/OK
,VS Code Scripting API - Live Bridge Commands,script can get workspace folders through bridge,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - Which,which() returns not found for nonexistent command,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > replay file execution,replay file executes commands,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > file execution,script file executes line by line,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - DartSdk,DartSdk() constructor creates instance,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - DartSdk,DartSdk.dartExeName returns dart,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > file execution,.file command shares environment,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > file execution,execute file defines variables accessible later,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - DartSdk,DartSdk().pathToDartExe returns path,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - DartSdk,DartSdk().version returns version string,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > multiline script execution,multiline execute runs in fresh environment,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - DartSdk,DartSdk().pathToSdk returns path,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - Shell,Shell.current returns shell instance,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > multiline script execution,multiline file adds to environment,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - DCliPaths,DCliPaths() constructor creates instance,OK/OK,--/OK,--/OK,--/OK
,DCli Global Functions - File System Checks,exists() returns true for existing directory,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - DCliPaths,DCliPaths().pathToDCli returns path,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - DartProject,DartProject.fromPath() with valid project,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > define command,define persists class definition,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - DartProject,DartProject.fromPath().pathToProjectRoot returns path,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - DartScript,DartScript.fromFile() parses script,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > define command,define persists function definition,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - DartScript,DartScript.fromFile().pathToScript returns path,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > class persistence,class with static members,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - FileSync,FileSync.tempFile() creates temp file,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > class persistence,class inheritance,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - FileSync,FileSync write and read,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > class persistence,class with named constructor,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - FileSync,FileSync.append() adds to file,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > class persistence,class with constructor,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > class persistence,"define class, create instance",OK/OK,--/OK,--/OK,--/OK
,DCli Classes - NamedLock,NamedLock() constructor creates instance,OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > function persistence,higher-order function,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - NamedLock,"NamedLock.withLock() executes callback (deprecated in dcli 8.4.2, throws UnsupportedError)",OK/OK,--/OK,--/OK,--/OK
,DCli Classes - NamedLock,"NamedLock.withLock() with timeout (deprecated in dcli 8.4.2, throws UnsupportedError)",OK/OK,--/OK,--/OK,--/OK
,CLI API Script Execution - State Modification > function persistence,function using captured variable,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - NamedLock,NamedLock.withLockAsync() executes callback,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - NamedLock,NamedLock.withLockAsync() with timeout,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - Progress,Progress.print() creates instance,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - Progress,Progress.capture() creates instance,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - Progress,Progress.devNull() creates instance,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - ProcessDetails,ProcessDetails() constructor creates instance,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - ProcessDetails,ProcessDetails.pid returns process ID,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - ProcessDetails,ProcessDetails.name returns process name,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - PubCache,PubCache() constructor creates instance,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - PubCache,PubCache().pathTo returns path,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - Settings,Settings() constructor creates instance,OK/OK,--/OK,--/OK,--/OK
,DCli Classes - Settings,Settings().isVerbose returns boolean,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - CliState,CliState constructor creates instance,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - CliState,CliState.cwd returns initial directory,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - CliState,CliState.dataDirectory returns data directory,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ExecuteResult,ExecuteResult.success() creates success result,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ExecuteResult,ExecuteResult.success() stores result value,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ExecuteResult,ExecuteResult.success() has null error,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ExecuteResult,ExecuteResult.failure() creates failure result,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ExecuteResult,ExecuteResult.failure() stores error message,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - Exceptions,CliException constructor creates instance,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - Exceptions,CliException.message returns message,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - Exceptions,CliFileNotFoundException constructor creates instance,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - Exceptions,CliFileNotFoundException.path returns path,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - Exceptions,DirectoryNotFoundException constructor creates instance,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - Exceptions,DirectoryNotFoundException.path returns path,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - Exceptions,ExecutionException constructor creates instance,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ExecutionContext,ExecutionContext constructor creates instance,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ExecutionContext,ExecutionContext.workingDirectory returns directory,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ExecutionContext,ExecutionContext.sourceFile returns source file,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ExecutionContext,ExecutionContext.recordToSession returns flag,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ExecutionContext,ExecutionContext.silent returns flag,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ExecutionContext,ExecutionContext.isMultilineMode returns false initially,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ContextStack,ContextStack constructor creates instance,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ContextStack,ContextStack.cwd returns initial directory,OK/OK,--/OK,--/OK,--/OK
,CLI API Classes - ContextStack,ContextStack.depth returns 0 initially,OK/OK,--/OK,--/OK,--/OK
